"season_order","position","ab","gp","pa","singles","doubles","triples","hr","tb","r","rbi","bb","ibb","so","hbp","sf","sh","gidp","sb","cs","ba","obp","slg","ops","k_percent","bb_percent","player_id"
140,ARI,1,145,,514,83,43,1,20,82,82,60,4,130,4,9,0,9,18,3,0,0,0,0,0,0,5
141,OAK,1,99,,279,45,10,0,18,46,47,44,2,104,8,1,1,2,3,1,0,0,0,0,0,0,5
142,TOR,1,43,,98,12,4,0,4,9,13,6,0,32,3,3,1,3,0,0,0,0,0,0,0,0,5
143,MIL,1,137,,415,66,19,4,19,72,51,20,1,98,8,3,6,6,37,6,0,0,0,0,0,0,5
144,BOS,1,37,,102,19,5,2,2,14,17,8,0,26,0,1,0,4,0,0,0,0,0,0,0,0,5
145,BOS,1,123,,484,93,37,0,15,63,86,31,4,81,5,7,0,9,0,0,0,0,0,0,0,0,5
145,LAD,2,36,,145,29,10,1,3,12,22,11,1,29,0,1,0,1,2,0,0,0,0,0,0,0,5
146,COL,1,135,,518,99,31,5,22,89,85,56,11,115,2,3,0,11,20,5,0,0,0,0,0,0,5
147,HOU,1,80,,205,33,13,0,2,21,12,13,0,29,0,0,1,9,3,3,0,0,0,0,0,0,5
148,KCR,1,161,,642,119,51,5,14,93,72,73,3,140,3,3,0,14,10,5,0,0,0,0,0,0,5
149,LAD,1,87,,303,57,9,2,1,38,17,20,0,62,3,2,2,5,32,10,0,0,0,0,0,0,5
150,TOR,1,56,,166,26,7,3,1,25,11,17,0,59,2,0,4,1,15,3,0,0,0,0,0,0,5
151,SDP,1,60,,192,41,7,1,8,28,36,31,1,39,1,2,0,8,0,0,0,0,0,0,0,0,5
152,NYY,1,160,,596,73,18,4,43,102,106,75,4,195,5,7,1,5,10,3,0,0,0,0,0,0,5
153,MIL,1,58,,103,9,7,0,3,8,14,10,0,24,2,2,0,3,0,0,0,0,0,0,0,0,5
154,STL,1,77,,179,24,9,2,4,16,19,13,1,56,1,2,2,4,9,2,0,0,0,0,0,0,5
154,HOU,2,39,,126,18,6,0,7,18,11,6,0,39,0,1,0,3,3,2,0,0,0,0,0,0,5
155,SEA,1,40,,150,24,10,1,4,18,17,9,0,31,2,1,1,5,3,1,0,0,0,0,0,0,5
156,SDP,1,120,,287,42,18,2,9,32,48,29,3,71,2,2,1,2,3,3,0,0,0,0,0,0,5
157,LAD,1,103,,259,48,8,4,0,29,17,16,2,52,0,0,2,6,13,6,0,0,0,0,0,0,5
158,CLE,1,66,,219,30,6,2,12,23,34,32,2,47,9,3,0,9,0,0,0,0,0,0,0,0,5
159,LAD,1,78,,238,47,13,1,4,19,26,23,2,27,3,2,1,7,1,2,0,0,0,0,0,0,5
160,NYM,1,134,,377,51,25,3,20,52,57,19,0,83,1,1,0,10,8,2,0,0,0,0,0,0,5
161,TEX,1,148,,562,84,31,2,43,103,128,60,13,162,5,9,0,9,7,4,0,0,0,0,0,0,5
162,CIN,1,112,,317,71,14,0,2,25,24,44,13,37,3,3,4,6,0,0,0,0,0,0,0,0,5
163,CLE,1,105,,287,50,16,0,4,23,29,27,0,63,2,1,1,9,0,2,0,0,0,0,0,0,5
164,BAL,1,158,,663,104,30,2,22,85,68,38,4,106,3,2,7,21,0,0,0,0,0,0,0,0,5
165,WSN,1,139,,533,87,26,9,22,98,59,56,0,120,2,3,3,8,18,6,0,0,0,0,0,0,5
166,PIT,1,104,,249,41,9,5,3,34,16,10,0,37,7,3,7,3,7,3,0,0,0,0,0,0,5
167,MIL,1,149,,562,83,35,4,30,91,83,44,5,151,11,3,2,13,5,0,0,0,0,0,0,0,5
168,MIA,1,39,,114,17,6,0,0,7,3,4,3,49,0,0,0,1,1,0,0,0,0,0,0,0,5
169,SDP,1,161,,604,109,31,2,31,95,115,86,2,157,4,5,0,7,17,6,0,0,0,0,0,0,5
170,TOR,1,41,,126,22,8,0,2,10,15,4,0,32,1,1,5,2,0,0,0,0,0,0,0,0,5
171,CIN,1,120,,347,64,16,5,7,44,31,18,0,81,7,0,3,8,6,3,0,0,0,0,0,0,5
172,COL,1,69,,240,33,16,1,7,31,37,39,1,44,1,3,0,6,1,1,0,0,0,0,0,0,5
173,PIT,1,25,,24,2,0,0,0,2,2,1,0,5,1,0,0,1,2,0,0,0,0,0,0,0,5
173,MIA,2,45,,132,20,2,3,3,16,11,12,0,37,2,0,1,1,5,2,0,0,0,0,0,0,5
174,COL,1,52,,184,25,10,0,5,16,28,6,1,32,2,2,2,4,0,1,0,0,0,0,0,0,5
175,LAD,1,67,,187,35,10,1,1,26,17,23,0,50,2,0,2,5,4,2,0,0,0,0,0,0,5
176,COL,1,86,,225,46,9,1,3,29,12,16,3,39,2,0,7,5,4,1,0,0,0,0,0,0,5
177,ATL,1,158,,587,95,30,6,27,93,82,58,1,152,2,3,0,4,21,8,0,0,0,0,0,0,5
178,ARI,1,156,,609,108,44,6,26,93,85,52,7,86,4,2,1,15,14,5,0,0,0,0,0,0,5
179,ATL,1,91,,132,16,7,1,2,9,13,14,2,41,0,1,0,5,0,0,0,0,0,0,0,0,5
180,STL,1,157,,599,112,36,2,27,95,102,75,3,132,9,5,0,16,4,4,0,0,0,0,0,0,5
181,KCR,1,152,,535,86,22,2,14,65,60,56,4,95,2,5,0,10,16,1,0,0,0,0,0,0,5
182,PHI,1,71,,260,32,11,0,14,28,56,25,7,99,4,3,0,8,0,0,0,0,0,0,0,0,5
183,SDP,1,35,,123,20,0,5,1,11,11,8,0,27,0,0,0,3,3,2,0,0,0,0,0,0,5
183,CHW,2,51,,137,19,3,3,2,10,17,12,1,24,0,0,3,3,3,1,0,0,0,0,0,0,5
184,SDP,1,58,,204,21,7,1,3,14,22,15,2,56,2,3,1,4,0,3,0,0,0,0,0,0,5
185,LAA,1,140,,534,126,24,1,16,81,92,38,1,133,8,3,1,15,9,1,0,0,0,0,0,0,5
186,LAA,1,79,,221,37,6,1,9,27,26,29,0,60,2,1,0,4,1,3,0,0,0,0,0,0,5
187,NYY,1,130,,384,51,19,3,19,50,62,35,5,67,4,2,0,14,3,0,0,0,0,0,0,0,5
188,MIA,1,85,,328,61,23,2,8,42,33,12,0,42,1,2,4,7,10,1,0,0,0,0,0,0,5
188,DET,2,64,,226,42,7,5,4,27,20,9,0,23,0,2,4,2,7,2,0,0,0,0,0,0,5
189,DET,1,9,,20,0,1,0,1,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5
189,OAK,2,74,,283,40,13,0,11,31,52,24,1,85,1,3,0,8,0,1,0,0,0,0,0,0,5
190,MIL,1,94,,152,22,12,1,4,19,30,13,3,42,4,1,4,4,0,0,0,0,0,0,0,0,5
