"season_order","gp","gs","w","l","sv","bs","hld","outs","tbf","h","r","er","hr","k","bb","ibb","hbp","cg","sho","wp","bk","era","whip","k_percent","bb_percent","babip","player_id"
1079,DET,1,2,0,0,1,0,4,12,24,10,4,4,0,1,2,0,0,0,0,0,0,0,0,0,0,5
1080,HOU,1,3,3,0,3,0,17.2,53,79,24,13,13,5,13,7,0,0,0,0,1,1,0,0,0,0,5
1081,SDP,1,7,7,2,4,0,37.1,112,169,41,23,19,6,19,20,1,1,0,0,4,0,0,0,0,0,5
1082,CHC,1,12,4,1,2,0,28.2,86,143,35,18,17,1,14,24,1,2,0,0,1,0,0,0,0,0,5
1083,SDP,1,8,8,2,3,0,40.1,121,177,45,26,25,5,35,14,1,1,0,0,1,1,0,0,0,0,5
1084,STL,1,28,28,13,11,0,174.2,524,751,191,85,77,12,106,52,0,8,1,0,5,0,0,0,0,0,5
1085,CLE,1,12,0,0,0,0,12.1,37,61,17,12,12,3,2,7,0,0,0,0,2,0,0,0,0,0,5
1086,COL,1,23,20,2,9,0,98,294,459,114,66,60,13,64,51,9,5,0,0,6,0,0,0,0,0,5
1087,SDP,1,5,5,0,4,0,27.2,83,119,26,16,14,5,24,9,2,1,0,0,1,0,0,0,0,0,5
1088,SEA,1,73,0,4,3,29,79.1,238,326,59,24,22,5,87,29,3,2,0,0,3,0,0,0,0,0,5
1089,DET,1,3,3,0,3,0,11,33,55,21,11,10,4,7,3,0,0,0,0,0,0,0,0,0,0,5
1090,LAA,1,32,15,6,8,1,137.2,413,572,139,73,70,17,98,35,1,5,1,1,1,0,0,0,0,0,5
1091,SFG,1,2,0,0,0,1,2,6,12,4,2,2,0,2,2,0,0,0,0,1,0,0,0,0,0,5
1092,LAA,1,34,34,13,10,0,202.1,607,865,181,102,86,19,173,91,2,6,0,0,4,1,0,0,0,0,5
1093,PIT,1,8,0,0,0,0,4.2,14,26,10,1,1,0,7,3,0,0,0,0,1,0,0,0,0,0,5
1094,NYY,1,1,0,0,0,0,0.2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1094,CHW,2,1,0,0,0,0,1,3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
1095,MIL,1,25,24,3,10,0,142.1,427,633,179,94,90,21,96,45,1,6,0,0,2,2,0,0,0,0,5
1095,BAL,2,5,2,2,0,0,15.1,46,66,17,9,9,2,8,7,0,1,0,0,0,0,0,0,0,0,5
1096,CHC,1,10,0,0,2,0,8.2,26,42,8,8,8,1,6,11,0,0,0,0,1,0,0,0,0,0,5
1097,CHC,1,26,26,6,13,0,156,468,649,133,80,74,25,119,54,3,8,0,0,2,1,0,0,0,0,5
1098,PHI,1,23,23,6,9,0,133,399,590,154,69,62,12,107,47,4,6,0,0,1,0,0,0,0,0,5
1099,LAD,1,66,0,5,3,0,67.2,203,306,72,35,28,2,54,30,7,4,0,0,2,0,0,0,0,0,5
1100,HOU,1,77,0,2,2,1,52.1,157,223,45,20,19,4,54,17,0,6,0,0,1,0,0,0,0,0,5
1101,NYM,1,20,20,4,9,0,115,345,493,119,58,53,16,80,36,5,2,0,0,3,0,0,0,0,0,5
1102,ARI,1,45,0,0,0,0,37.1,112,163,37,24,23,5,34,19,0,1,0,0,5,0,0,0,0,0,5
1103,MIA,1,35,20,7,10,0,132.1,397,591,123,75,66,9,95,75,1,10,1,1,1,0,0,0,0,0,5
1104,ARI,1,77,0,6,1,0,68.2,206,263,54,21,19,2,42,21,2,1,0,0,1,0,0,0,0,0,5
1105,WSN,1,32,32,12,8,0,195.2,587,805,186,69,64,18,153,43,2,8,0,0,3,0,0,0,0,0,5
1106,SFG,1,32,32,15,8,0,184.1,553,799,186,91,85,20,114,70,6,5,1,1,1,0,0,0,0,0,5
